unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_ACT,DEB1	2.7 	2.9 	2.2 b	1.8 b	1.7 	1.4 	1.7 	1.0 	1.4 	1.2 	1.0 	0.7 
PC_ACT,DEB2	: u	: u	2.0 b	: bu	: u	: u	: u	: u	: u	: u	: u	: u
PC_ACT,DEB3	2.6 	2.5 	2.7 b	2.1 b	1.5 	1.6 	1.4 	1.4 	1.7 	1.3 	1.2 	1.1 
PC_ACT,DEC0	3.4 	3.4 	3.2 b	3.0 b	2.5 	2.6 	2.8 	2.9 	1.7 	1.9 	1.7 	1.5 
PC_ACT,DED2	6.9 	5.9 	4.9 b	4.6 b	4.0 	3.7 	3.3 	3.2 	2.7 	2.1 	2.1 	1.7 
PC_ACT,DED4	7.8 	7.0 	6.4 b	5.1 b	4.5 	4.1 	3.5 	3.2 	2.3 	2.1 	1.8 	1.8 
PC_ACT,DED5	8.4 	7.3 	6.3 b	6.5 b	5.3 	5.2 	5.0 	3.8 	2.9 	2.6 	2.3 	2.4 
PC_ACT,DEE0	9.1 	7.7 	6.3 b	6.2 b	5.5 	5.3 	4.9 	4.6 	4.4 	3.9 	3.0 	2.5 
PC_ACT,DEF0	3.3 	2.9 	3.1 b	2.5 b	2.0 	2.2 	1.7 	1.7 	1.4 	1.3 	1.1 	1.0 
PC_ACT,DEG0	6.0 	5.0 	4.3 b	4.0 b	3.5 	3.1 	2.8 	2.7 	2.4 	2.1 	1.9 	1.6 
PC_ACT,DK01	0.5 b	0.7 	1.4 	1.7 	2.0 	1.9 	1.9 	1.8 	1.5 b	1.4 b	1.0 	0.8 
PC_ACT,DK02	0.5 bu	: u	1.2 	1.8 	1.9 	2.1 	1.9 	1.7 	1.4 b	1.2 b	1.2 	0.8 u
PC_ACT,DK03	0.4 bu	0.5 u	1.4 	2.0 	2.4 	2.1 	1.6 	1.5 	1.0 b	1.1 b	1.0 	0.8 
PC_ACT,DK04	: bu	0.4 u	1.3 	1.5 	2.0 	1.5 	1.4 	1.4 	1.0 b	1.0 b	0.8 	0.7 
PC_ACT,DK05	: bu	0.9 u	2.1 	1.8 	1.9 	1.2 u	1.5 	1.6 	1.3 bu	1.2 bu	1.0 u	1.0 u
PC_ACT,EE00	1.7 	3.7 	7.6 	7.1 	5.5 	3.8 	3.3 	2.4 	2.1 	1.9 	1.3 	0.9 
PC_ACT,EL30	2.9 	3.3 b	5.1 	8.7 	15.3 	19.7 	21.1 	19.3 	16.9 	16.7 	15.1 	12.7 
PC_ACT,EL41	2.5 u	3.1 bu	4.6 	8.8 	14.7 	14.9 	14.9 	12.9 	12.3 	15.0 	15.0 	11.5 
PC_ACT,EL42	1.1 u	1.7 bu	2.2 u	3.3 	4.4 	8.0 	8.9 	6.5 	7.7 	6.4 	5.5 	4.6 
PC_ACT,EL43	1.8 	2.7 b	4.1 	5.1 	10.7 	14.0 	15.2 	13.5 	12.7 	10.0 	6.7 	5.7 
PC_ACT,EL51	5.1 	5.5 b	7.8 	10.8 	14.1 	18.4 	17.1 	16.1 	15.8 	14.0 	10.8 	12.0 
PC_ACT,EL52	4.6 	4.7 b	7.1 	10.7 	16.5 	20.7 	21.6 	19.3 	18.6 	16.6 	14.0 	13.2 
PC_ACT,EL53	7.3 	5.8 b	7.9 	11.7 	17.9 	20.7 	16.5 	19.5 	20.7 	20.7 	19.3 	17.0 
PC_ACT,EL54	6.3 	6.2 b	7.5 	8.7 	11.9 	17.2 	20.3 	17.8 	18.8 	18.5 	15.5 	12.2 
PC_ACT,EL61	4.0 	3.5 b	5.1 	7.8 	13.1 	16.9 	18.6 	19.7 	18.7 	15.9 	13.0 	12.6 
PC_ACT,EL62	1.7 u	1.9 bu	3.2 u	4.2 	6.0 	8.5 	13.0 	12.9 	8.1 	10.1 	8.6 	5.7 
PC_ACT,EL63	5.0 	4.9 b	6.1 	9.4 	16.4 	20.6 	22.1 	21.7 	22.5 	19.6 	17.5 	18.2 
PC_ACT,EL64	4.2 	4.4 b	6.8 	11.4 	15.9 	20.0 	19.4 	19.7 	19.4 	15.5 	14.0 	12.8 
PC_ACT,EL65	3.7 	4.2 b	5.6 	8.0 	13.5 	15.7 	17.2 	17.2 	14.5 	12.3 	10.5 	9.0 
PC_ACT,ES11	2.0 	3.2 	5.5 	7.1 	9.2 	11.1 	11.6 	10.6 	8.9 	7.8 	5.8 	4.6 
PC_ACT,ES12	2.3 	4.0 	6.0 	7.3 	9.6 	13.1 	11.8 	10.5 	9.9 	6.9 	6.2 	7.0 
PC_ACT,ES13	1.1 u	2.4 	5.2 	6.2 	7.9 	10.1 	10.8 	9.1 	7.1 	6.5 	4.8 	3.5 
PC_ACT,ES21	1.6 	2.7 	3.5 	5.3 	6.8 	8.1 	9.2 	7.9 	6.5 	5.5 	4.7 	3.7 
PC_ACT,ES22	0.8 u	1.7 	3.0 	4.3 	6.0 	7.0 	7.6 	6.3 	6.0 	3.8 	3.9 	2.2 
PC_ACT,ES23	1.2 u	2.6 u	4.9 	6.9 	8.1 	8.6 	8.8 	7.4 	5.6 	4.9 	3.5 	2.9 u
PC_ACT,ES24	0.9 	2.2 	5.2 	6.7 	7.8 	9.8 	9.7 	7.5 	6.7 	4.8 	4.0 	3.6 
PC_ACT,ES30	1.3 	3.2 	5.6 	6.6 	8.1 	9.9 	10.0 	9.5 	7.9 	6.1 	5.3 	4.1 
PC_ACT,ES41	2.0 	3.6 	5.2 	6.9 	8.4 	10.5 	11.0 	9.2 	7.6 	6.1 	4.9 	4.6 
PC_ACT,ES42	1.9 	4.3 	7.1 	9.3 	12.4 	16.3 	15.9 	13.9 	11.8 	9.6 	7.8 	6.5 
PC_ACT,ES43	3.5 	5.1 	7.8 	9.5 	13.7 	15.3 	13.8 	13.3 	12.1 	12.0 	9.7 	9.2 
PC_ACT,ES51	1.5 	3.8 	7.4 	8.9 	11.0 	12.1 	11.4 	10.4 	8.4 	6.3 	4.7 	4.1 
PC_ACT,ES52	1.7 	4.5 	8.6 	10.3 	12.3 	13.8 	13.7 	11.6 	9.9 	7.6 	6.4 	5.2 
PC_ACT,ES53	1.0 	3.2 	5.9 	7.1 	9.2 	9.3 	8.4 	6.7 	4.9 	3.5 	2.8 	2.8 
PC_ACT,ES61	3.5 	6.3 	9.7 	11.9 	14.9 	17.4 	17.4 	14.8 	12.6 	10.9 	9.4 	7.7 
PC_ACT,ES62	1.7 	4.2 	8.2 	10.3 	11.7 	13.2 	13.4 	12.0 	9.2 	7.5 	5.9 	4.9 
PC_ACT,ES63	7.1 u	7.9 u	12.2 u	13.5 u	18.2 	22.7 	22.9 	18.5 	15.2 	12.9 u	18.8 	14.7 
PC_ACT,ES64	9.0 u	11.7 u	11.8 u	13.1 u	16.1 	18.2 	18.9 	21.2 	19.6 	17.6 	16.0 	16.7 
PC_ACT,ES70	3.5 	7.4 	12.2 	13.4 	15.1 	18.7 	19.4 	17.4 	14.2 	11.1 	9.6 	8.7 
PC_ACT,FI19	1.2 b	1.5 	2.2 	1.8 	1.7 	1.9 	2.0 	2.4 	2.6 	2.1 	1.6 	1.0 
PC_ACT,FI1B	0.9 b	1.1 	1.3 	1.2 	1.3 	1.3 	1.6 	2.0 	1.6 	1.9 	1.9 	1.4 
PC_ACT,FI1C	1.1 b	1.4 	2.4 	2.1 	1.7 	1.9 	2.2 	2.6 	2.6 	2.2 	1.4 	1.1 
PC_ACT,FI1D	1.5 b	1.6 	2.3 	1.9 	1.9 	1.9 	2.1 	2.3 	2.5 	2.3 	1.4 	1.1 
PC_ACT,FI20	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC_ACT,FR10	2.8 	3.0 	3.5 	3.7 	3.5 	3.6 	4.2 	4.3 	4.3 	4.0 	3.6 	3.3 
PC_ACT,FRB0	1.6 	2.2 	2.7 	3.4 	3.8 	4.3 	4.0 	4.4 	4.4 	3.8 	3.3 	2.9 
PC_ACT,FRC1	2.0 u	2.6 	3.5 	4.0 	3.9 	4.3 	4.7 	3.6 	4.0 	4.5 	3.4 	2.6 
PC_ACT,FRC2	2.4 u	2.2 u	3.4 	3.2 	3.6 	3.8 	3.8 	4.2 	3.5 	2.7 	2.4 	2.7 
PC_ACT,FRD1	2.2 u	2.2 	3.0 	3.0 	3.1 	3.3 	4.1 	3.6 	3.7 	2.9 	3.0 	3.8 
PC_ACT,FRD2	2.6 	3.6 	3.8 	3.6 	4.7 	5.5 	6.0 	4.6 	5.9 	5.8 	4.1 	4.1 
PC_ACT,FRE1	4.8 	5.6 	6.1 	6.2 	6.2 	7.2 	6.8 	7.1 	6.6 	6.7 	6.1 	5.0 
PC_ACT,FRE2	2.9 	4.0 	5.5 	4.4 	5.0 	5.2 	5.5 	4.7 	5.6 	5.2 	3.6 	3.9 
PC_ACT,FRF1	2.0 	2.5 	2.7 	2.3 	3.0 	4.0 	4.7 	3.8 	4.9 	3.8 	3.1 	2.6 
PC_ACT,FRF2	2.9 	3.5 	3.8 	4.2 	4.7 	4.0 	5.2 	5.6 	4.8 	4.7 	3.7 	3.3 
PC_ACT,FRF3	3.3 	3.8 	3.8 	4.2 	4.7 	5.1 	5.3 	5.5 	5.7 	5.8 	4.9 	3.2 
PC_ACT,FRG0	1.9 	2.0 	2.7 	3.0 	2.6 	3.2 	3.1 	3.1 	3.3 	2.5 	2.6 	2.5 
PC_ACT,FRH0	1.2 	1.4 	1.7 	1.8 	2.5 	2.7 	2.4 	2.4 	3.1 	2.9 	2.0 	1.9 
PC_ACT,FRI1	2.3 	2.5 	2.9 	3.2 	3.1 	3.0 	3.5 	4.0 	4.1 	3.9 	4.0 	3.3 
PC_ACT,FRI2	: u	2.0 u	2.6 u	2.6 u	2.5 u	3.3 	4.1 	3.5 	3.3 	2.5 u	2.5 u	3.2 u
PC_ACT,FRI3	1.8 u	2.8 	3.1 	3.2 	2.9 	3.9 	4.7 	4.8 	3.9 	3.6 	3.6 	3.6 
PC_ACT,FRJ1	4.2 	5.6 	6.4 	5.1 	6.6 	5.8 	6.2 	6.3 	5.8 	6.1 	4.9 	4.7 
PC_ACT,FRJ2	1.9 	2.5 	2.5 	3.1 	3.0 	3.2 	3.6 	3.2 	3.3 	2.9 	2.9 	2.1 
PC_ACT,FRK1	2.5 u	2.8 	2.7 	3.4 	3.9 	3.4 	3.2 	3.5 	3.0 	3.4 	3.6 	2.4 
PC_ACT,FRK2	2.1 	2.5 	2.8 	2.7 	2.6 	2.9 	3.0 	3.4 	3.2 	2.5 	2.5 	2.1 
PC_ACT,FRL0	3.0 	3.3 	4.0 	4.0 	4.2 	4.4 	4.0 	4.5 	4.6 	4.4 	3.9 	3.7 
PC_ACT,FRM0	: u	: u	: u	: u	: u	4.2 u	2.9 u	6.3 u	4.1 u	5.6 u	: u	: u
PC_ACT,FRY1	17.7 	18.4 	18.8 	18.6 	18.4 	20.8 	16.4 	16.5 	16.7 	15.9 	15.9 	15.3 
PC_ACT,FRY2	17.1 	16.1 	14.8 	16.0 	15.3 	16.2 	12.7 	12.1 	11.0 	11.5 	10.4 	9.8 
PC_ACT,FRY3	17.1 	15.5 	15.4 	16.3 	16.7 	16.5 	13.9 	14.5 	15.8 	15.5 	12.3 	13.5 
PC_ACT,FRY4	16.7 	16.7 	17.9 	19.8 	19.4 	19.8 	17.4 	15.2 	13.7 	13.2 	14.5 	13.5 
PC_ACT,FRY5	: 	: 	: 	: 	: 	15.4 	15.4 	18.9 	24.1 	24.9 	28.7 	25.4 
PC_ACT,HR03	5.1 	5.5 	6.3 	7.5 	9.0 	8.8 	10.1 	10.4 	7.0 	4.1 	3.6 	2.2 
PC_ACT,HR04	5.4 	5.0 	6.6 	8.8 	10.7 	11.9 	10.1 	10.1 	6.5 	4.8 	3.3 	2.5 
PC_ACT,HU10	2.0 	2.5 	4.4 	4.5 	4.7 	: 	: 	: 	: 	: 	: 	: 
PC_ACT,HU11	: 	: 	: 	: 	: 	4.5 	3.2 	2.6 	2.3 	1.1 	1.1 	0.7 
PC_ACT,HU12	: 	: 	: 	: 	: 	5.4 	3.7 	3.4 	1.6 	1.5 	1.0 	0.8 
PC_ACT,HU21	2.2 	3.3 	4.7 	4.9 	4.7 	4.1 	2.8 	2.1 	1.3 	0.9 u	0.7 u	0.5 u
PC_ACT,HU22	1.8 	3.2 	4.5 	3.5 	2.9 	2.9 	1.9 	1.4 	1.1 	0.9 u	0.6 u	: u
PC_ACT,HU23	5.0 	5.0 	6.1 	6.0 	5.3 	4.3 	3.3 	3.7 	3.3 	2.8 	2.0 	1.6 
PC_ACT,HU31	6.9 	7.0 	8.6 	8.4 	7.8 	6.3 	4.7 	3.8 	2.8 	1.9 	1.8 	1.6 
PC_ACT,HU32	5.8 	6.2 	6.5 	6.1 	5.5 	6.3 	5.4 	4.4 	4.0 	2.8 	2.8 	2.0 
PC_ACT,HU33	3.9 	4.5 	5.1 	4.7 	4.4 	5.2 	4.0 	3.5 	2.5 	1.7 	1.2 	1.2 
PC_ACT,IE01	1.7 	3.8 	6.7 	9.3 	: 	: 	: 	: 	: 	: 	: 	: 
PC_ACT,IE02	1.7 	3.4 	6.9 	8.5 	: 	: 	: 	: 	: 	: 	: 	: 
PC_ACT,IE04	: 	: 	: 	: 	9.2 	7.8 	6.2 	5.5 	4.3 	3.1 b	2.3 	1.8 
PC_ACT,IE05	: 	: 	: 	: 	9.8 	8.3 	7.1 	6.0 	4.5 	3.1 b	2.4 	1.9 
PC_ACT,IE06	: 	: 	: 	: 	8.7 	7.7 	6.3 	4.8 	4.0 	2.9 b	1.8 	1.3 
PC_ACT,IS00	: u	0.4 	1.3 	1.7 	1.5 	1.0 	0.6 	0.5 	: u	0.3 	0.3 	: u
PC_ACT,ITC1	2.2 	2.9 	3.6 	3.8 	5.1 	5.7 	6.7 	5.9 	5.0 	5.0 	4.4 	4.1 
PC_ACT,ITC2	: u	: u	: u	: u	2.6 u	2.9 u	3.9 u	3.7 u	3.9 u	3.2 u	2.8 u	: u
PC_ACT,ITC3	1.8 	2.3 	2.7 	2.4 	3.3 	4.9 	6.1 	4.5 	4.5 	4.6 	5.1 	5.0 
PC_ACT,ITC4	1.3 	1.8 	2.3 	2.6 	3.5 	4.0 	4.6 	4.3 	3.9 	3.3 	3.1 	2.7 
PC_ACT,ITF1	2.8 	3.3 	4.3 	4.3 	5.9 	6.6 	7.4 	7.6 	6.9 	6.5 	6.0 	5.8 
PC_ACT,ITF2	4.7 	4.5 	4.1 	5.3 	6.4 	9.4 	10.2 	9.7 	8.2 	10.6 	9.0 	7.9 
PC_ACT,ITF3	7.0 	7.3 	8.2 	9.4 	12.3 	14.4 	15.0 	13.5 	13.8 	13.7 	13.7 	13.2 
PC_ACT,ITF4	5.8 	6.0 	6.9 	7.2 	8.8 	11.4 	13.7 	12.1 	12.0 	11.7 	9.8 	8.7 
PC_ACT,ITF5	6.0 	6.1 	7.3 	7.2 	8.1 	9.7 	9.5 	8.9 	8.1 	8.0 	7.6 	6.1 
PC_ACT,ITF6	6.1 	5.8 	6.5 	7.4 	11.8 	14.3 	15.7 	15.2 	14.8 	14.7 	15.0 	13.3 
PC_ACT,ITG1	7.7 	8.0 	8.1 	7.9 	11.1 	13.6 	15.4 	14.0 	14.2 	14.3 	14.8 	13.7 
PC_ACT,ITG2	5.9 	5.9 	6.3 	7.1 	9.0 	9.8 	10.7 	9.3 	9.5 	9.1 	8.2 	7.9 
PC_ACT,ITH1	: u	: u	: u	0.8 u	1.0 	1.1 	1.5 	1.3 	1.1 	1.2 	0.7 u	0.7 u
PC_ACT,ITH2	0.8 u	0.9 u	1.1 	1.2 	1.6 	2.1 	2.3 	2.4 	2.6 	2.0 	1.5 	1.4 
PC_ACT,ITH3	1.1 	1.3 	2.1 	2.2 	2.5 	3.8 	4.0 	3.6 	3.4 	3.1 	3.0 	2.4 
PC_ACT,ITH4	1.5 	1.5 	2.2 	2.4 	2.7 	3.3 	4.0 	3.6 	3.3 	3.3 	3.2 	2.7 
PC_ACT,ITH5	0.8 	1.3 	1.9 	2.2 	2.6 	3.7 	4.1 	3.7 	3.4 	3.0 	2.4 	2.2 
PC_ACT,ITI1	1.8 	2.0 	2.8 	2.9 	3.5 	4.0 	5.7 	4.8 	4.8 	4.2 	3.4 	3.0 
PC_ACT,ITI2	1.7 	2.4 	2.9 	2.7 	3.9 	4.9 	5.7 	5.4 	4.9 	5.2 	4.8 	4.2 
PC_ACT,ITI3	1.5 	2.1 	2.5 	2.9 	4.2 	5.6 	5.8 	4.7 	5.3 	5.9 	4.5 	4.1 
PC_ACT,ITI4	3.3 	4.2 	4.5 	4.6 	5.5 	6.8 	7.6 	6.4 	6.1 	5.9 	6.4 	5.5 
PC_ACT,LT00	1.3 u	3.3 	7.4 	8.0 	6.6 	: 	: 	: 	: 	: 	: 	: 
PC_ACT,LT01	: 	: 	: 	: 	: 	5.0 	4.4 	3.4 	2.1 	2.0 	1.5 	1.4 
PC_ACT,LT02	: 	: 	: 	: 	: 	5.1 	5.0 	4.1 	3.4 	3.0 	2.2 	2.2 
PC_ACT,LU00	1.6 	1.2 b	1.3 	1.4 	1.6 	1.8 	1.6 	1.9 b	2.2 	2.1 	1.4 	1.3 
PC_ACT,LV00	1.9 	4.5 	8.8 	8.8 	7.8 	5.7 	4.6 	4.5 	4.0 	3.3 	3.1 	2.4 
PC_ACT,ME00	: 	: 	: 	15.7 	15.8 	16.0 	14.0 	13.5 	13.4 	12.4 	11.4 	11.9 
